reactome:Pathway202	abstraction:SuperPathwayOf	reactome:Pathway228
reactome:Pathway356	abstraction:SuperPathwayOf	reactome:Pathway362
reactome:Pathway373	abstraction:SuperPathwayOf	reactome:Pathway374
reactome:Pathway269	abstraction:SuperPathwayOf	reactome:Pathway274
reactome:Pathway2	abstraction:SuperPathwayOf	reactome:Pathway94
reactome:Pathway56	abstraction:SuperPathwayOf	reactome:Pathway70
reactome:Pathway319	abstraction:SuperPathwayOf	reactome:Pathway331
reactome:Pathway389	abstraction:SuperPathwayOf	reactome:Pathway392
reactome:Pathway23	abstraction:SuperPathwayOf	reactome:Pathway24
reactome:Pathway127	abstraction:SuperPathwayOf	reactome:Pathway129
reactome:Pathway11	abstraction:SuperPathwayOf	reactome:Pathway13
reactome:Pathway334	abstraction:SuperPathwayOf	reactome:Pathway347
reactome:Pathway214	abstraction:SuperPathwayOf	reactome:Pathway215
reactome:Pathway387	abstraction:SuperPathwayOf	reactome:Pathway395
reactome:Pathway395	abstraction:SuperPathwayOf	reactome:Pathway396
reactome:Pathway410	abstraction:SuperPathwayOf	reactome:Pathway412
reactome:Pathway64	abstraction:SuperPathwayOf	reactome:Pathway66
reactome:Pathway1	abstraction:SuperPathwayOf	reactome:Pathway288
reactome:Pathway165	abstraction:SuperPathwayOf	reactome:Pathway168
reactome:Pathway116	abstraction:SuperPathwayOf	reactome:Pathway120
reactome:Pathway173	abstraction:SuperPathwayOf	reactome:Pathway174
reactome:Pathway174	abstraction:SuperPathwayOf	reactome:Pathway176
reactome:Pathway319	abstraction:SuperPathwayOf	reactome:Pathway320
reactome:Pathway233	abstraction:SuperPathwayOf	reactome:Pathway242
reactome:Pathway116	abstraction:SuperPathwayOf	reactome:Pathway119
reactome:Pathway116	abstraction:SuperPathwayOf	reactome:Pathway121
reactome:Pathway1	abstraction:SuperPathwayOf	reactome:Pathway387
reactome:Pathway228	abstraction:SuperPathwayOf	reactome:Pathway231
reactome:Pathway202	abstraction:SuperPathwayOf	reactome:Pathway205
reactome:Pathway208	abstraction:SuperPathwayOf	reactome:Pathway219
reactome:Pathway356	abstraction:SuperPathwayOf	reactome:Pathway367
reactome:Pathway61	abstraction:SuperPathwayOf	reactome:Pathway62
reactome:Pathway77	abstraction:SuperPathwayOf	reactome:Pathway81
reactome:Pathway154	abstraction:SuperPathwayOf	reactome:Pathway162
reactome:Pathway299	abstraction:SuperPathwayOf	reactome:Pathway302
reactome:Pathway334	abstraction:SuperPathwayOf	reactome:Pathway353
reactome:Pathway16	abstraction:SuperPathwayOf	reactome:Pathway17
reactome:Pathway269	abstraction:SuperPathwayOf	reactome:Pathway270
reactome:Pathway315	abstraction:SuperPathwayOf	reactome:Pathway316
reactome:Pathway213	abstraction:SuperPathwayOf	reactome:Pathway214
reactome:Pathway34	abstraction:SuperPathwayOf	reactome:Pathway38
reactome:Pathway163	abstraction:SuperPathwayOf	reactome:Pathway164
reactome:Pathway406	abstraction:SuperPathwayOf	reactome:Pathway408
reactome:Pathway116	abstraction:SuperPathwayOf	reactome:Pathway123
reactome:Pathway308	abstraction:SuperPathwayOf	reactome:Pathway314
reactome:Pathway283	abstraction:SuperPathwayOf	reactome:Pathway284
reactome:Pathway77	abstraction:SuperPathwayOf	reactome:Pathway80
reactome:Pathway141	abstraction:SuperPathwayOf	reactome:Pathway144
